date,ticker,alert_level,total_score,volume_score,momentum_score,rs_score,rsi_current,obv_days_rising,price_above_ema,outperformance_short,outperformance_long,current_price,volume
2026-04-19,A,skip,9,3,6,0,61.53,3,True,-1.65,-15.24,121.87000274658203,4012300
2026-04-19,AA,skip,5,3,2,0,47.07,2,True,-15.36,0.75,65.62000274658203,10622300
2026-04-19,AAAU,skip,10,3,7,0,54.73,2,True,-3.5,-4.67,47.88999938964844,1486400
2026-04-19,A,skip,13,3,6,0,61.53,3,True,-1.65,-15.24,121.87000274658203,4012300
2026-04-19,AA,skip,8,3,2,0,47.07,2,True,-15.36,0.75,65.62000274658203,10622300
2026-04-19,AAAU,skip,17,3,7,0,54.73,2,True,-3.5,-4.67,47.88999938964844,1486400
2026-04-20,A,skip,12,3,5,0,59.01,2,True,-1.29,-13.34,120.95999908447266,956463
2026-04-20,AA,skip,5,0,2,0,49.07,2,False,-16.32,4.01,66.52999877929688,5360172
2026-04-20,AAAU,skip,17,3,7,0,52.13,2,True,-5.11,-6.49,47.470001220703125,1357608
2026-04-20,AAAU,skip,17,3,7,0,52.13,2,True,-5.11,-6.49,47.470001220703125,1357608
2026-04-20,AAL,skip,16,3,11,2,57.98,4,True,5.72,-19.67,12.239999771118164,62567281
2026-04-20,AAOI,watch_list,22,3,4,6,71.66,3,True,31.45,354.53,163.47000122070312,6490240
2026-04-20,AAON,skip,14,3,4,2,65.31,3,True,13.53,0.66,97.9000015258789,608631
2026-04-20,AAP,skip,17,3,7,2,61.54,2,True,1.71,19.89,57.27000045776367,1010510
2026-04-20,AAPD,skip,0,0,0,0,34.53,2,False,-14.81,-12.44,12.970000267028809,5421841
2026-04-20,AAPL,skip,16,3,4,1,66.53,3,True,0.2,7.08,273.04998779296875,34667241
2026-04-20,AAPU,skip,21,3,7,4,65.53,3,True,7.81,13.85,32.220001220703125,2668432
2026-04-20,AAXJ,skip,17,3,4,1,67.39,3,True,2.75,4.26,107.5199966430664,216110
