ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_macd_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_outperformance
AAME,2025-12-23,2,22,2.7200000286102295,19000,False,3,0.97,True,True,9,55.66,True,True,True,True,10,0.00014123,10.56
ABAT,2025-12-23,2,22,4.090000152587891,4345100,False,3,0.902,True,True,9,56.91,True,True,True,True,10,0.00015002,9.59
ABEO,2025-12-23,2,22,5.300000190734863,1139500,False,3,0.81,True,True,9,63.01,True,True,True,True,10,0.00015668,6.51
AAOI,2025-12-23,2,19,40.63999938964844,9333800,False,4,0.731,True,True,5,72.47,False,True,True,True,10,0.00507817,46.97
AAUC,2025-12-23,2,19,24.760000228881836,322400,False,4,0.765,True,True,5,70.42,False,True,True,True,10,0.0006596,5.83
ABCL,2025-12-23,2,19,3.690000057220459,2717800,False,0,0.844,False,True,9,57.81,True,True,True,True,10,9.171e-05,7.38
AA,2025-12-23,2,18,53.650001525878906,5555200,False,3,0.84,True,True,5,80.16,False,True,True,True,10,0.00230364,11.77
AAAU,2025-12-23,2,18,44.349998474121094,2164800,False,3,1.062,True,True,9,91.74,True,True,True,True,6,0.00014559,0.71
AAMI,2025-12-23,2,18,48.56999969482422,334800,False,3,0.899,True,True,9,66.83,True,True,True,True,6,7.716e-05,0.84
AARD,2025-12-23,2,18,14.149999618530273,245100,False,4,0.745,True,True,5,63.64,False,True,True,True,9,0.00025883,4.27
ABIG,2025-12-23,2,16,32.2239990234375,7900,False,3,1.458,True,True,8,47.85,True,True,True,True,5,2.424e-05,0.27
AAUM,2025-12-23,1,15,24.673999786376953,100,False,3,0.952,True,True,9,72.56,True,True,True,False,3,4.64e-06,-0.15
AADR,2025-12-23,2,14,87.1500015258789,700,False,4,0.747,True,True,5,66.47,False,True,True,True,5,0.00016891,0.25
