ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
GRIN,2025-12-25,3,26,28.017000198364258,3900,True,10,0.224,True,True,8,63.15,True,True,0.0689,0.0597,False,True,True,True,True,8,4.22e-05,-4.69e-05,False,0.26,3.04
GLE,2025-12-25,2,23,0.4950000047683716,223900,True,9,0.465,True,True,8,60.77,True,True,0.0155,0.0169,False,True,True,True,False,6,1.662e-05,-5.036e-05,False,6.43,3.13
GINN,2025-12-25,2,22,74.18000030517578,100,True,10,0.255,True,True,7,52.68,True,True,0.0896,0.065,False,True,True,True,False,5,-8.623e-05,-0.00045218,False,-0.28,1.76
GMMA,2025-12-25,2,22,21.56999969482422,500,True,10,0.287,True,True,8,57.05,True,True,0.0078,0.0026,False,True,True,True,False,4,-0.00011652,-9.01e-05,False,-1.48,0.72
GSEP,2025-12-25,2,22,38.939998626708984,487400,True,10,0.2,True,True,8,59.76,True,True,0.0256,0.0158,False,True,True,True,False,4,-0.00016598,-0.00012123,False,-1.29,1.25
HEQQ,2025-12-25,2,22,58.965999603271484,100,True,9,0.464,True,True,8,55.74,True,True,0.0302,-0.0027,False,True,True,True,False,5,-9.877e-05,-8.033e-05,False,-0.43,1.25
IFLO,2025-12-25,2,22,28.600000381469727,600,True,10,0.195,True,True,7,63.45,True,True,0.0178,0.0174,False,True,True,True,False,5,-9.34e-05,-9.996e-05,False,-1.07,2.62
GGM,2025-12-25,2,21,28.10099983215332,100,True,9,0.426,True,True,7,61.79,True,True,0.0401,0.0297,False,True,True,True,False,5,-3.288e-05,-5.834e-05,False,-0.37,2.96
GSID,2025-12-25,2,21,69.58499908447266,100,True,9,0.491,True,False,4,67.6,True,False,0.1304,0.1155,False,True,True,True,True,8,-0.00013913,2.527e-05,True,-0.66,3.42
GFLW,2025-12-25,2,20,28.718000411987305,26600,False,5,0.698,True,True,7,52.5,True,True,0.034,0.0182,False,True,True,True,True,8,2.153e-05,-0.00014811,False,0.49,1.91
GIGL,2025-12-25,1,20,51.25,300,True,10,0.37,True,False,6,55.04,True,True,0.0135,0.0025,False,True,True,False,False,4,-0.00039343,-0.00016209,False,-2.12,-0.22
GOOP,2025-12-25,2,20,38.970001220703125,11900,False,3,1.061,True,True,9,47.88,True,True,-0.1653,-0.2225,True,False,True,True,True,8,0.00022751,0.00011442,False,1.37,-1.14
GPRE,2025-12-25,2,20,10.029999732971191,472200,False,3,1.091,True,True,8,45.57,True,True,0.0391,0.014,False,True,True,True,True,9,6.943e-05,0.00026238,False,0.41,0.4
