ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
GOOGL,2025-12-29,3,16,313.55999755859375,19602900,True,3,0.962,30999136.0,33715633.0,32221560.0,11,9,True,True,7,49.84,False,True,-1.0866,-1.2833,True,False,True,True,True,6,0.00042464,0.00045144,True,0.78,-0.36
MSFT,2025-12-29,3,15,487.1000061035156,10879100,True,3,1.328,31003186.0,19228908.0,23349905.0,7,13,True,True,2,45.61,False,True,1.8332,1.8994,False,True,True,False,True,10,-0.00010423,0.00063129,True,0.01,0.07
NVDA,2025-12-29,3,14,188.22000122070312,119715400,True,3,0.994,169623280.0,171538240.0,170580760.0,10,10,True,True,3,53.1,False,True,1.5912,1.629,False,True,True,True,True,8,0.00117921,0.00021894,False,2.03,4.62
AMZN,2025-12-29,3,13,232.07000732421875,19761900,True,3,1.034,38351791.0,35528944.0,37081510.0,11,9,True,True,4,59.54,False,True,0.8268,0.7889,False,True,True,True,True,6,0.00070566,0.00039369,True,1.15,-0.77
AAPL,2025-12-29,2,11,273.760009765625,23700400,False,0,0.932,40792618.0,47373556.0,43754040.0,11,9,False,True,6,39.07,False,False,-0.6729,-0.8238,True,False,True,True,True,5,0.00047968,0.00069306,False,0.59,-3.3
TSLA,2025-12-29,3,9,459.6400146484375,65975100,True,3,0.937,71545860.0,81188090.0,76366975.0,10,10,True,True,2,57.32,False,True,-0.0995,1.9548,False,False,False,False,True,4,-0.01082738,-0.01743195,False,-6.39,6.86
META,2025-12-29,3,9,658.6900024414062,8492300,True,3,1.184,18839189.0,13506491.0,15906205.0,9,11,True,True,2,45.65,False,True,1.7589,2.4759,False,True,True,False,True,4,-0.00223327,-0.00466208,False,-0.87,2.86
NFLX,2025-12-29,2,8,94.1500015258789,24445900,False,0,1.126,54869560.0,42604250.0,48736905.0,10,10,False,True,3,39.77,True,False,0.4234,0.3211,False,True,True,True,True,5,0.00024221,0.00062017,False,0.55,-13.73
COST,2025-12-29,2,7,867.8400268554688,1787000,False,0,1.173,3552000.0,2505400.0,3028700.0,10,10,False,True,3,39.41,False,False,0.9941,0.4035,False,True,True,True,True,4,0.00636299,-0.00059959,False,1.66,-4.84
AMD,2025-12-29,2,6,215.61000061035156,20282400,False,0,1.006,28457222.0,28166800.0,28297490.0,9,11,False,True,2,43.88,False,True,1.4693,1.3392,False,True,True,False,True,4,-0.000177,0.00098718,True,-0.13,-1.89
