ticker,date,total_score,alert_level,alert_text,volume_score,momentum_score,rs_score,red_volume_ratio,price_above_ema,red_day_avg_volume,green_day_avg_volume,rsi_current,rsi_slope,macd_histogram,obv_days_rising,rs_slope,outperformance,current_price,volume
ABVE,2026-01-22,21,high_priority,STRONG SETUP,6,9,6,0.826,True,1207233.0,1840981.0,70.98,3.666,0.0601,4,0.00014334,22.47,2.440000057220459,2587247
ACDC,2026-01-22,19,watch_list,WATCH LIST,3,10,6,0.955,True,903225.0,974681.0,83.92,3.547,0.1173,5,0.00036361,20.11,5.239999771118164,890672
ACHC,2026-01-22,19,watch_list,WATCH LIST,6,7,6,0.806,True,2734800.0,4197112.0,56.11,8.514,0.255,4,0.00135886,27.67,15.149999618530273,6744110
ABM,2026-01-22,18,watch_list,WATCH LIST,3,10,5,0.899,True,603050.0,688065.0,86.61,2.419,0.3175,5,0.00059058,3.42,46.369998931884766,408640
AAOI,2026-01-22,17,watch_list,WATCH LIST,3,9,5,1.004,True,4499677.0,4468633.0,56.19,3.056,-0.0052,3,0.00062883,3.58,38.150001525878906,4218718
ABCL,2026-01-22,17,watch_list,WATCH LIST,3,8,6,0.956,True,4459010.0,4873995.0,79.05,4.075,0.0622,3,0.00016803,11.48,4.639999866485596,6943046
ACAD,2026-01-22,17,watch_list,WATCH LIST,3,9,5,0.946,True,1071283.0,1224123.0,57.17,5.98,-0.0646,3,0.00046741,4.16,27.510000228881836,1377682
AAUC,2026-01-22,16,watch_list,WATCH LIST,5,5,6,0.842,True,645378.0,865401.0,93.06,7.73,0.3989,4,0.0013856,13.67,30.700000762939453,1327516
ABEV,2026-01-22,16,watch_list,WATCH LIST,3,7,6,0.973,True,23261775.0,24073105.0,90.91,1.086,0.0191,3,5.637e-05,5.86,2.740000009536743,24812376
AAON,2026-01-22,15,watch_list,WATCH LIST,3,5,7,0.929,True,950961.0,1047620.0,79.15,0.496,2.157,4,0.00237338,7.73,96.58000183105469,675003
AAPD,2026-01-22,15,watch_list,WATCH LIST,6,4,5,0.728,True,2053589.0,3448410.0,88.89,-0.018,0.0906,3,0.00026105,4.45,14.369999885559082,6417412
ACHR,2026-01-22,15,watch_list,WATCH LIST,5,6,4,0.834,True,34809458.0,52147252.0,68.86,1.668,0.0483,1,1.045e-05,2.16,9.010000228881836,53426314
AAAU,2026-01-22,13,skip,SKIP,3,4,6,1.183,True,2935856.0,2110178.0,87.85,8.763,0.3209,3,0.00136897,7.27,48.529998779296875,3373960
AAP,2026-01-22,13,skip,SKIP,3,4,6,1.121,True,2281900.0,1788430.0,72.21,3.65,0.7981,3,0.00134657,7.66,45.790000915527344,2349895
ABVX,2026-01-22,13,skip,SKIP,0,6,7,1.117,False,2111093.0,1376078.0,40.78,3.107,-0.8415,4,0.00272151,6.32,123.62999725341797,1070867
ACB,2026-01-22,13,skip,SKIP,0,9,4,1.105,False,1421331.0,1036966.0,58.21,7.971,0.0094,2,3.897e-05,2.59,4.329999923706055,1059162
ACLX,2026-01-22,13,skip,SKIP,3,7,3,0.868,True,787419.0,1005191.0,56.97,0.562,1.0394,2,0.0002613,0.91,68.62000274658203,1565974
ABEO,2026-01-22,12,skip,SKIP,3,9,0,1.1,True,1257225.0,1067305.0,53.6,1.592,0.0035,3,-2.99e-06,-1.18,5.360000133514404,1360558
ABSI,2026-01-22,12,skip,SKIP,0,7,5,1.264,False,4286300.0,2794557.0,42.22,1.417,-0.0602,2,4.009e-05,4.08,3.1600000858306885,3030185
AAXJ,2026-01-22,10,skip,SKIP,3,4,3,0.999,True,609691.0,610393.0,75.33,-1.73,0.1195,3,0.00038954,0.8,99.55000305175781,573945
ACGL,2026-01-22,10,skip,SKIP,0,6,4,1.067,False,2226164.0,1913742.0,38.04,1.854,-0.3661,3,0.00093759,2.2,92.51000213623047,1813177
ACHV,2026-01-22,10,skip,SKIP,5,5,0,0.785,True,561788.0,818186.0,63.16,-4.672,0.0103,2,-6.48e-05,-0.78,5.519999980926514,543237
ACIW,2026-01-22,10,skip,SKIP,0,6,4,0.905,False,505370.0,611161.0,30.61,2.419,-0.3765,2,0.00017276,1.02,43.72999954223633,581614
ABAT,2026-01-22,9,skip,SKIP,3,6,0,0.869,True,6175420.0,8044046.0,66.01,1.571,0.0193,2,-5.971e-05,-2.41,4.724999904632568,5771461
ABNB,2026-01-22,9,skip,SKIP,0,5,4,1.123,False,4188326.0,3270990.0,46.28,1.764,-1.0332,3,0.00112963,1.38,133.8000030517578,3426855
ABBV,2026-01-22,8,skip,SKIP,0,4,4,1.067,False,6639538.0,5944982.0,41.14,1.26,-0.6649,2,0.00173659,1.91,218.11000061035156,5534484
ABTC,2026-01-22,7,skip,SKIP,0,7,0,0.947,False,11089815.0,12864086.0,42.22,0.966,0.0443,1,-4.058e-05,-6.67,1.559999942779541,6453695
ACCO,2026-01-22,7,skip,SKIP,3,4,0,1.011,True,605940.0,597501.0,69.14,-4.313,0.0116,3,-1.516e-05,-1.71,4.039999961853027,421721
ABR,2026-01-22,6,skip,SKIP,0,6,0,0.998,False,3530543.0,3544850.0,54.72,-0.574,0.0658,3,-8.107e-05,-2.57,7.960000038146973,3374419
ACM,2026-01-22,6,skip,SKIP,0,6,0,1.194,False,1488938.0,1086331.0,59.51,-0.008,0.5162,3,-0.00025972,-0.62,98.16000366210938,930667
AA,2026-01-22,5,skip,SKIP,3,0,2,0.892,True,6903322.0,8419718.0,68.12,-0.404,-0.4773,2,0.00052648,-0.58,63.13999938964844,7589294
ABL,2026-01-22,5,skip,SKIP,3,2,0,1.015,True,524211.0,509115.0,45.59,-0.716,-0.082,1,-5.277e-05,-1.18,8.319999694824219,516766
ABUS,2026-01-22,5,skip,SKIP,5,0,0,0.659,False,1014589.0,1970498.0,32.8,-2.147,-0.0766,2,-0.0001333,-11.02,4.159999847412109,813479
ACI,2026-01-22,5,skip,SKIP,0,5,0,1.095,False,10822289.0,9114525.0,50.13,-0.421,0.0362,1,-5.52e-05,-0.68,17.18000030517578,6899276
A,2026-01-22,2,skip,SKIP,0,2,0,0.9,False,1662582.0,2122188.0,54.05,-2.069,-0.5733,1,-0.00139841,-3.81,138.6300048828125,1398685
AAL,2026-01-22,2,skip,SKIP,0,2,0,1.0,False,55022810.0,55030967.0,46.44,-0.915,-0.1517,2,-0.00019062,-3.92,15.020000457763672,41588813
AAPL,2026-01-22,2,skip,SKIP,0,2,0,1.129,False,46922412.0,34981967.0,11.87,-0.06,-1.675,2,-0.00332148,-3.35,248.35000610351562,36743336
AAPU,2026-01-22,2,skip,SKIP,0,2,0,1.104,False,1923491.0,1520389.0,10.22,-0.051,-0.3871,2,-0.00086893,-7.32,27.81999969482422,2477603
ABT,2026-01-22,0,skip,SKIP,0,0,0,0.871,False,6834808.0,9735879.0,17.36,-6.759,-1.2284,0,-0.00415166,-11.61,108.61000061035156,37063354
